,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
350,0.973145,0.055176,0.268066,1.342773,1.586914,-0.244141,-0.181793,-0.597778,0.106506,-0.773438,-74.470825,144.926147,1.006348,-0.075684,-0.157715,-1.403809,0.610352,-0.488281,0.073212,-0.759064,-0.034760,-0.645905,-80.299072,-14.381104,0.999023,0.132812,0.027344,-0.915527,0.366211,-0.671387,-0.215271,0.631348,0.295654,0.683807,-82.221680,144.354858
360,0.973145,0.055176,0.268066,1.342773,1.586914,-0.244141,-0.181793,-0.597778,0.106506,-0.773438,-74.470825,144.926147,1.006348,-0.075684,-0.157715,-1.403809,0.610352,-0.488281,0.073212,-0.759064,-0.034760,-0.645905,-80.299072,-14.381104,0.999023,0.132812,0.027344,-0.915527,0.366211,-0.671387,-0.215271,0.631348,0.295654,0.683807,-82.221680,144.354858
370,0.973145,0.055176,0.268066,1.342773,1.586914,-0.244141,-0.181793,-0.597778,0.106506,-0.773438,-74.470825,144.926147,1.006348,-0.075684,-0.157715,-1.403809,0.610352,-0.488281,0.073212,-0.759064,-0.034760,-0.645905,-80.299072,-14.381104,0.999023,0.132812,0.027344,-0.915527,0.366211,-0.671387,-0.215271,0.631348,0.295654,0.683807,-82.221680,144.354858
380,0.972656,0.055664,0.268555,1.159668,1.525879,-0.244141,-0.181671,-0.597473,0.106049,-0.773773,-74.415894,144.931641,1.007812,-0.070312,-0.156738,-1.403809,0.122070,-0.305176,0.073059,-0.759033,-0.034729,-0.645996,-80.315552,-14.342651,0.992188,0.131836,0.033203,-1.586914,0.061035,-0.793457,-0.214783,0.631378,0.295349,0.684052,-82.194214,144.376831
390,0.972656,0.055664,0.268555,1.159668,1.525879,-0.244141,-0.181671,-0.597473,0.106049,-0.773773,-74.415894,144.931641,1.007812,-0.070312,-0.156738,-1.403809,0.122070,-0.305176,0.073059,-0.759033,-0.034729,-0.645996,-80.315552,-14.342651,0.992188,0.131836,0.033203,-1.586914,0.061035,-0.793457,-0.214783,0.631378,0.295349,0.684052,-82.194214,144.376831
400,0.972656,0.055664,0.268555,1.159668,1.525879,-0.244141,-0.181671,-0.597473,0.106049,-0.773773,-74.415894,144.931641,1.007812,-0.070312,-0.156738,-1.403809,0.122070,-0.305176,0.073059,-0.759033,-0.034729,-0.645996,-80.315552,-14.342651,0.992188,0.131836,0.033203,-1.586914,0.061035,-0.793457,-0.214783,0.631378,0.295349,0.684052,-82.194214,144.376831
410,0.971680,0.055176,0.267578,0.976562,1.098633,-0.244141,-0.181580,-0.597290,0.105713,-0.773987,-74.371948,144.931641,0.997559,-0.072266,-0.148926,-1.037598,0.183105,-0.427246,0.072998,-0.758972,-0.034851,-0.646057,-80.326538,-14.282227,0.991211,0.129395,0.041992,-0.305176,-0.244141,-0.549316,-0.213989,0.631561,0.294739,0.684387,-82.172241,144.338379
420,0.971680,0.055176,0.267578,0.976562,1.098633,-0.244141,-0.181580,-0.597290,0.105713,-0.773987,-74.371948,144.931641,0.997559,-0.072266,-0.148926,-1.037598,0.183105,-0.427246,0.072998,-0.758972,-0.034851,-0.646057,-80.326538,-14.282227,0.991211,0.129395,0.041992,-0.305176,-0.244141,-0.549316,-0.213989,0.631561,0.294739,0.684387,-82.172241,144.338379
430,0.971680,0.055176,0.267578,0.976562,1.098633,-0.244141,-0.181580,-0.597290,0.105713,-0.773987,-74.371948,144.931641,0.997559,-0.072266,-0.148926,-1.037598,0.183105,-0.427246,0.072998,-0.758972,-0.034851,-0.646057,-80.326538,-14.282227,0.991211,0.129395,0.041992,-0.305176,-0.244141,-0.549316,-0.213989,0.631561,0.294739,0.684387,-82.172241,144.338379
440,0.971191,0.055176,0.264160,0.671387,0.366211,-0.244141,-0.181488,-0.597168,0.105438,-0.774139,-74.338989,144.920654,1.010742,-0.068359,-0.141602,0.366211,0.061035,-0.427246,0.073303,-0.758850,-0.035309,-0.646118,-80.343018,-14.210815,0.999023,0.137207,0.030273,0.488281,-0.183105,-0.488281,-0.213684,0.631622,0.294678,0.684479,-82.155762,144.244995
